1:Flavonoids	2:Other	3:Aromatic_polyketides	4:Macrolides_and_lactone_polyketides	5:Polyether_antibiotics_
5184	0	0	0	0
5	4	0	0	0
19	0	0	0	0
0	0	0	6	0
0	0	0	0	29
