1:Acidic_glycosphingolipids	2:Neutral_glycosphingolipids	3:Other	4:Ceramides	5:Phosphosphingolipids	6:Sphingoid_bases
0	0	0	0	1	0
0	2	0	0	0	0
0	0	16	0	0	0
0	0	0	150	0	1
0	0	0	0	260	0
0	0	0	1	0	63
