1:Fatty_Acyls	2:Glycerophospholipids	3:Sphingolipids	4:Polyketides	5:Saccharolipids	6:Glycerolipids	7:Sterol_Lipids	8:Prenol_Lipids
4698	1	5	3	0	3	34	0
0	8588	0	0	0	0	0	0
6	1	3392	0	0	0	0	0
10	4	1	5854	0	0	1	0
1	0	0	0	1155	0	0	0
7	0	2	0	0	6655	4	0
6	1	0	0	0	0	2010	0
47	1	1	7	0	1	23	0
